node,stopping_time,total_stopping_time,maximum_excursion,binary_length,parity_vector_length,in_degree,out_degree,distance_from_root,ancestor_count,branching_factor,level_set,umap_1,umap_2
4761,3,33,16072,13,33,1,1,33,2,1,33,3.3653662,4.968958
4762,1,77,9232,13,77,2,1,77,3,2,77,3.9960196,5.5348487
4763,39,196,695464,13,196,1,1,-1,2,1,-1,4.2356086,4.1456356
4764,1,51,15280,13,51,1,1,51,2,1,51,6.7135353,3.851964
4765,3,51,15280,13,51,1,1,51,2,1,51,3.3067322,5.8805265
4766,1,51,24136,13,51,1,1,51,2,1,51,4.3556623,4.1402574
4767,37,103,122200,13,103,1,1,-1,2,1,-1,5.991571,5.3029714
4768,1,28,4768,13,28,2,1,28,3,2,28,5.1806383,3.1508029
4769,3,77,14308,13,77,1,1,77,2,1,77,4.655806,4.3516808
4770,1,103,39364,13,103,1,1,103,2,1,103,5.52149,4.371634
4771,6,103,39364,13,103,1,1,103,2,1,103,5.425464,4.7123013
4772,1,103,39364,13,103,1,1,103,2,1,103,3.6303554,2.796577
4773,3,103,39364,13,103,1,1,103,2,1,103,5.5458183,4.1708455
4774,1,103,39364,13,103,2,1,103,3,2,103,5.5871005,5.6487827
4775,26,59,40804,13,59,1,1,59,2,1,59,4.061279,6.1914682
4776,1,28,4776,13,28,1,1,28,2,1,28,4.1798863,3.9529152
4777,3,103,275560,13,103,1,1,-1,2,1,-1,6.432584,5.59886
4778,1,28,7168,13,28,1,1,28,2,1,28,2.3949132,5.066331
4779,8,77,21508,13,77,1,1,77,2,1,77,4.262141,4.382512
4780,1,121,9232,13,121,2,1,121,3,2,121,4.798868,4.416403
4781,3,121,14344,13,121,1,1,121,2,1,121,5.6845007,5.573578
4782,1,121,16144,13,121,1,1,121,2,1,121,4.849267,5.7511435
4783,13,77,48436,13,77,1,1,77,2,1,77,2.6470718,5.524232
4784,1,121,9232,13,121,1,1,121,2,1,121,4.3990474,3.8464615
4785,3,72,14356,13,72,1,1,72,2,1,72,5.73195,5.8283515
4786,1,72,8080,13,72,2,1,72,3,2,72,3.1688166,4.491533
4787,6,72,21544,13,72,1,1,72,2,1,72,2.784487,6.448988
4788,1,121,9232,13,121,1,1,121,2,1,121,5.781231,5.9176474
4789,3,121,14368,13,121,1,1,121,2,1,121,3.2269516,3.616884
4790,1,33,18196,13,33,1,1,33,2,1,33,4.783333,5.3999104
4791,8,33,32344,13,33,1,1,33,2,1,33,6.4187093,3.7453759
4792,1,121,9232,13,121,2,1,121,3,2,121,4.696857,3.7457526
4793,3,72,16180,13,72,1,1,72,2,1,72,4.2952123,3.9526036
4794,1,121,9232,13,121,1,1,121,2,1,121,4.09684,4.912738
4795,11,165,24280,13,165,1,1,165,2,1,165,4.6554236,3.1695313
4796,1,72,12148,13,72,1,1,72,2,1,72,5.3820567,5.601481
4797,3,72,14392,13,72,1,1,72,2,1,72,3.5407016,5.494608
4798,1,72,36448,13,72,2,1,72,3,2,72,5.188119,5.995931
4799,26,165,138400,13,165,1,1,-1,2,1,-1,4.1464996,5.9824843
4800,1,20,4800,13,20,1,1,20,2,1,20,4.651438,5.454948
4801,3,121,14404,13,121,1,1,121,2,1,121,5.5308194,5.986742
4802,1,165,17332,13,165,1,1,165,2,1,165,3.6291554,5.685343
4803,6,165,21616,13,165,1,1,165,2,1,165,4.697784,3.612926
4804,1,59,4804,13,59,2,1,59,3,2,59,5.3226104,3.7840414
