node,kmeans_k2,dbscan_eps_0.05_ms_5,hdbscan_mcs30
805,1,-1,-1
806,0,-2,-2
807,1,-2,-2
808,1,-2,-2
809,1,-1,-1
810,1,-2,-2
811,1,-2,-2
812,1,-2,-2
813,0,-2,-2
814,0,-2,-2
815,1,-1,-1
816,0,-2,-2
817,1,-2,-2
818,1,-2,-2
819,0,-2,-2
820,0,-2,-2
821,1,-2,-2
822,1,-2,-2
823,1,-2,-2
824,0,-1,-1
825,1,-2,-2
826,0,-2,-2
827,0,-2,-2
828,0,-2,-2
829,1,-2,-2
830,1,-2,-2
831,0,-2,-2
832,1,-2,-2
833,1,-1,-1
834,1,-2,-2
835,0,-2,-2
836,1,-2,-2
837,0,-1,-1
838,0,-2,-2
839,1,-2,-2
840,0,-1,-1
841,1,-2,-2
842,0,-2,-2
843,1,-2,-2
844,0,-2,-2
845,0,-1,-1
846,0,-2,-2
847,1,-2,-2
848,0,-2,-2
849,0,-2,-2
850,1,-1,-1
851,0,-1,-1
852,1,-2,-2
853,0,-2,-2
854,0,-1,-1
855,1,-1,-1
856,1,-2,-2
857,1,-2,-2
858,0,-1,-1
859,1,-2,-2
860,1,-1,-1
861,1,-2,-2
862,1,-2,-2
863,0,-1,-1
864,1,-2,-2
865,0,-2,-2
866,1,-2,-2
867,0,-2,-2
868,1,-2,-2
869,0,-2,-2
870,0,-2,-2
871,0,-2,-2
872,0,-2,-2
873,0,-2,-2
874,1,-2,-2
875,0,-2,-2
876,0,-2,-2
877,0,-2,-2
878,0,-2,-2
879,1,-1,-1
880,0,-2,-2
881,1,-1,-1
882,1,-2,-2
883,1,-2,-2
884,1,-1,-1
885,1,-2,-2
886,1,-2,-2
887,0,-2,-2
888,1,-2,-2
889,1,-2,-2
890,0,-2,-2
891,0,-1,-1
892,1,-1,-1
893,1,-2,-2
894,0,-2,-2
895,1,-2,-2
896,0,-2,-2
897,1,-1,-1
898,1,-2,-2
899,1,-2,-2
900,1,-2,-2
901,0,-2,-2
902,0,-2,-2
903,1,-2,-2
904,0,-2,-2
905,1,-2,-2
906,0,-2,-2
907,0,-2,-2
908,0,-2,-2
909,0,-2,-2
910,1,-2,-2
911,1,-2,-2
912,0,-2,-2
913,0,-2,-2
914,1,-2,-2
915,1,-2,-2
916,0,-2,-2
917,0,-2,-2
918,1,-2,-2
919,0,-2,-2
920,1,-2,-2
921,1,-2,-2
922,0,-1,-1
923,0,-2,-2
924,1,-2,-2
925,1,-2,-2
926,1,-2,-2
927,0,-2,-2
928,0,-1,-1
929,0,-2,-2
930,0,-2,-2
931,1,-2,-2
932,1,-2,-2
933,0,-1,-1
934,0,-2,-2
935,1,-2,-2
936,1,-1,-1
937,0,-2,-2
938,1,-1,-1
939,0,-2,-2
940,1,-2,-2
941,1,-2,-2
942,0,-2,-2
943,1,-1,-1
944,0,-2,-2
945,1,-2,-2
946,0,-2,-2
947,1,-2,-2
948,1,-1,-1
949,1,-2,-2
950,0,-2,-2
951,0,-2,-2
952,0,-2,-2
953,0,-2,-2
954,1,-2,-2
955,1,-2,-2
956,1,-2,-2
957,0,-2,-2
958,0,-2,-2
959,1,-2,-2
960,1,-2,-2
961,1,-2,-2
962,0,-2,-2
963,1,-2,-2
964,0,-2,-2
965,0,-2,-2
966,1,-2,-2
967,1,-2,-2
968,0,-2,-2
969,1,-2,-2
970,1,-1,-1
971,1,-1,-1
972,1,-1,-1
973,0,-2,-2
974,0,-2,-2
975,1,-2,-2
976,1,-2,-2
977,0,-2,-2
978,1,-1,-1
979,1,-2,-2
980,0,-2,-2
981,0,-1,-1
982,1,-2,-2
983,0,-2,-2
984,0,-2,-2
985,1,-2,-2
986,1,-2,-2
987,0,-1,-1
988,0,-1,-1
989,1,-2,-2
990,0,-2,-2
991,0,-2,-2
992,0,-2,-2
993,1,-2,-2
994,0,-2,-2
995,0,-2,-2
996,1,-2,-2
997,0,-1,-1
998,0,-2,-2
999,1,-2,-2
1000,1,-1,-1
1001,1,-1,-1
1002,1,-2,-2
1003,1,-1,-1
1004,1,-1,-1
1005,0,-2,-2
1006,0,-2,-2
1007,1,-2,-2
1008,1,-2,-2
1009,0,-2,-2
1010,1,-2,-2
1011,0,-2,-2
1012,0,-2,-2
1013,1,-1,-1
1014,0,-2,-2
1015,0,-2,-2
1016,0,-2,-2
1017,0,-2,-2
1018,1,-2,-2
1019,1,-2,-2
1020,1,-2,-2
1021,0,-2,-2
1022,0,-2,-2
1023,1,-1,-1
1024,1,-2,-2
1025,0,-2,-2
1026,1,-2,-2
1027,0,-2,-2
1028,0,-1,-1
1029,0,-2,-2
1030,0,-2,-2
1031,0,-1,-1
1032,0,-1,-1
1033,0,-2,-2
1034,1,-2,-2
1035,1,-2,-2
1036,0,-2,-2
1037,1,-2,-2
1038,0,-2,-2
1039,1,-2,-2
1040,0,-2,-2
1041,1,-2,-2
1042,1,-2,-2
1043,0,-2,-2
1044,1,-2,-2
1045,1,-2,-2
1046,1,-2,-2
1047,0,-1,-1
1048,1,-2,-2
1049,0,-2,-2
1050,1,-2,-2
1051,1,-2,-2
1052,1,-2,-2
1053,1,-2,-2
1054,0,-2,-2
1055,1,-2,-2
1056,0,-1,-1
1057,0,-2,-2
1058,1,-2,-2
1059,1,-2,-2
1060,1,-2,-2
1061,1,-2,-2
1062,1,-2,-2
1063,0,-1,-1
1064,0,-2,-2
1065,1,-2,-2
1066,1,-2,-2
1067,0,-2,-2
1068,1,-2,-2
1069,0,-2,-2
1070,0,-2,-2
1071,0,-2,-2
1072,0,-1,-1
1073,0,-2,-2
1074,0,-2,-2
1075,0,-1,-1
1076,1,-2,-2
1077,1,-1,-1
1078,1,-2,-2
1079,0,-2,-2
1080,0,-2,-2
1081,0,-1,-1
1082,0,-2,-2
1083,1,-2,-2
1084,0,-2,-2
1085,1,-2,-2
1086,1,-2,-2
1087,1,-2,-2
1088,0,-2,-2
1089,1,-2,-2
1090,0,-2,-2
1091,1,-2,-2
1092,1,-2,-2
1093,1,-2,-2
1094,0,-2,-2
1095,1,-2,-2
1096,1,-2,-2
1097,0,-2,-2
1098,0,-1,-1
1099,0,-2,-2
1100,1,-2,-2
1101,1,-2,-2
1102,1,-2,-2
1103,1,-1,-1
1104,0,-2,-2
1105,1,-2,-2
1106,1,-1,-1
1107,1,-1,-1
1108,0,-2,-2
1109,1,-2,-2
1110,0,-1,-1
1111,0,-2,-2
1112,0,-1,-1
1113,0,-2,-2
1114,1,-2,-2
1115,0,-2,-2
1116,0,-2,-2
1117,0,-1,-1
1118,1,-2,-2
1119,0,-1,-1
1120,1,-2,-2
1121,0,-1,-1
1122,0,-2,-2
1123,0,-1,-1
1124,0,-1,-1
1125,1,-2,-2
1126,0,-2,-2
1127,0,-2,-2
1128,1,-2,-2
1129,1,-2,-2
1130,0,-2,-2
1131,1,-2,-2
1132,1,-1,-1
1133,0,-2,-2
1134,1,-1,-1
1135,1,-1,-1
1136,0,-1,-1
1137,1,-2,-2
1138,1,-2,-2
1139,0,-1,-1
1140,1,-2,-2
1141,1,-2,-2
1142,0,-2,-2
1143,1,-1,-1
1144,0,-2,-2
1145,1,-1,-1
1146,1,-2,-2
1147,0,-2,-2
1148,0,-2,-2
1149,1,-2,-2
1150,0,-1,-1
1151,1,-2,-2
1152,0,-2,-2
1153,1,-1,-1
1154,0,-1,-1
1155,1,-2,-2
1156,1,-2,-2
1157,0,-2,-2
1158,0,-2,-2
1159,0,-2,-2
1160,1,-2,-2
1161,1,-2,-2
1162,1,-2,-2
1163,1,-1,-1
1164,1,-2,-2
1165,0,-2,-2
1166,1,-2,-2
1167,1,-1,-1
1168,1,-2,-2
1169,1,-2,-2
1170,1,-2,-2
1171,0,-2,-2
