node,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,pagerank
141,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
142,2.000020000200002e-05,1.000010000100001e-05,6.638804651093023e-05,0.0018543885168513623,0.0002475368681057279
143,1.000010000100001e-05,1.000010000100001e-05,2.6152866807336147e-05,0.0006207191519910305,0.00012898260611735794
144,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
145,1.000010000100001e-05,1.000010000100001e-05,4.531340626812537e-06,0.0004070922749610068,0.00010975760836725489
146,1.000010000100001e-05,1.000010000100001e-05,2.0391032820656415e-05,0.0004441337557959642,0.0001290564729061832
147,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
148,2.000020000200002e-05,1.000010000100001e-05,1.6621426178523572e-05,0.001351816961432696,0.0002183465857160865
149,1.000010000100001e-05,1.000010000100001e-05,1.7969109382187644e-06,0.00019215593536247747,7.695679053605879e-05
150,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
151,1.000010000100001e-05,1.000010000100001e-05,2.929746094921899e-07,0.0002245741076705707,6.90127278288813e-05
152,1.000010000100001e-05,1.000010000100001e-05,1.2129148832976661e-05,0.0011950945872632624,0.00018006003265303184
153,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
154,2.000020000200002e-05,1.000010000100001e-05,2.6953664073281468e-06,0.0004671347574581379,0.0001111902507553488
155,1.000010000100001e-05,1.000010000100001e-05,8.632985159703194e-05,0.0022650334779312758,0.00017998612326678839
156,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
157,1.000010000100001e-05,1.000010000100001e-05,3.515695313906278e-06,0.0005514705907895491,0.00012039800297718028
158,1.000010000100001e-05,1.000010000100001e-05,1.4062781255625113e-06,0.00016501492932442213,7.42290600982833e-05
159,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
160,2.000020000200002e-05,1.000010000100001e-05,1.5234679693593873e-05,0.0018010723824216739,0.00019999828924173444
161,1.000010000100001e-05,1.000010000100001e-05,6.316532580651613e-05,0.0017585767041716047,0.00018334912333801563
162,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
163,1.000010000100001e-05,1.000010000100001e-05,8.984554691093822e-07,0.0002497586845712637,9.382706275303903e-05
